SPPARKS (08 Oct 2025)
seed 12345
app_style surface/rxn
solve_style tree

dimension 2
lattice sq/4n 1.0
region box block 0 128 0 128 -0.5 0.5
create_box box
Created box = (0 0 -0.5) to (128 128 0.5)
  1 by 1 by 1 processor grid
create_sites box
Creating sites ...
  16384 sites
  16384 sites have 4 neighbors

# surface species mapping (0 = *, 1 = A*, 2 = B*)
species A 1
species B 2

# initialize lattice
set site value 0
  16384 settings made for site
set site value 1 fraction 0.25 if site = 0
  4048 settings made for site
set site value 2 fraction 0.25 if site = 0
  3148 settings made for site

# gas concentration for k1 c_A
gas A 1.0

# surface diffusion
diffusion A 0.2
diffusion B 0.2

# A* + * -> 2A*   rate = k1 * c_A
reaction A * -> A A 1.0 gas A

# A* + B* -> 2B*  rate = k2
reaction A B -> B B 1.0

# B* + * -> 2* + B(g)  rate = k3
reaction B * -> * * 0.1

stats 0.01
run 100.0
Setting up run ...
Running with 32-bit site IDs
Memory usage per processor = 1.625 Mbytes
      Time    Naccept    Nreject    Nsweeps        CPU
   13.4801      60579          0          0      0.144
   13.4908      60602          0          0      0.144
   13.5007      60620          0          0      0.144
   13.5107      60638          0          0      0.144
   13.5204      60650          0          0      0.144
   13.5302      60669          0          0      0.144
   13.5403      60691          0          0      0.144
   13.5506      60713          0          0      0.145
   13.5602      60730          0          0      0.145
   13.5701      60752          0          0      0.145
   13.5806      60763          0          0      0.145
   13.5903      60786          0          0      0.145
   13.6002      60802          0          0      0.145
   13.6116      60824          0          0      0.145
     13.62      60843          0          0      0.145
     13.63      60868          0          0      0.145
   13.6401      60893          0          0      0.145
   13.6505      60911          0          0      0.145
   13.6602      60924          0          0      0.145
     13.67      60944          0          0      0.145
     13.68      60977          0          0      0.145
   13.6911      60995          0          0      0.145
   13.7001      61013          0          0      0.145
   13.7105      61038          0          0      0.145
   13.7201      61059          0          0      0.145
     13.73      61075          0          0      0.145
   13.7404      61086          0          0      0.145
   13.7501      61109          0          0      0.145
   13.7607      61128          0          0      0.146
   13.7701      61149          0          0      0.146
   13.7802      61173          0          0      0.146
   13.7911      61197          0          0      0.146
   13.8004      61223          0          0      0.146
   13.8102      61243          0          0      0.146
   13.8201      61268          0          0      0.146
     13.83      61295          0          0      0.146
   13.8407      61317          0          0      0.146
   13.8501      61347          0          0      0.146
   13.8601      61360          0          0      0.146
   13.8707      61380          0          0      0.146
   13.8811      61403          0          0      0.146
   13.8902      61431          0          0      0.146
   13.9002      61449          0          0      0.146
   13.9121      61472          0          0      0.146
     13.92      61486          0          0      0.146
   13.9308      61508          0          0      0.146
   13.9401      61529          0          0      0.146
   13.9504      61551          0          0      0.147
   13.9601      61575          0          0      0.147
   13.9701      61600          0          0      0.147
   13.9802      61624          0          0      0.147
   13.9905      61641          0          0      0.147
   14.0003      61663          0          0      0.147
   14.0104      61683          0          0      0.147
   14.0202      61697          0          0      0.147
   14.0304      61711          0          0      0.147
   14.0406      61734          0          0      0.147
   14.0506      61757          0          0      0.147
   14.0606      61778          0          0      0.147
     14.07      61802          0          0      0.147
   14.0802      61817          0          0      0.147
   14.0903      61840          0          0      0.147
   14.1001      61857          0          0      0.147
   14.1105      61870          0          0      0.147
   14.1202      61887          0          0      0.147
   14.1302      61902          0          0      0.147
   14.1406      61917          0          0      0.147
   14.1508      61937          0          0      0.147
   14.1602      61954          0          0      0.147
   14.1704      61972          0          0      0.148
   14.1804      61994          0          0      0.148
   14.1901      62023          0          0      0.148
   14.2001      62041          0          0      0.148
   14.2104      62059          0          0      0.148
   14.2206      62084          0          0      0.148
     14.23      62109          0          0      0.148
   14.2414      62136          0          0      0.148
   14.2502      62154          0          0      0.148
   14.2603      62168          0          0      0.148
     14.27      62184          0          0      0.148
   14.2801      62207          0          0      0.148
   14.2901      62228          0          0      0.148
      14.3      62245          0          0      0.148
   14.3104      62262          0          0      0.148
   14.3201      62276          0          0      0.148
     14.33      62302          0          0      0.148
   14.3408      62321          0          0      0.148
   14.3503      62344          0          0      0.148
   14.3606      62364          0          0      0.148
   14.3703      62380          0          0      0.148
   14.3805      62404          0          0      0.149
   14.3901      62424          0          0      0.149
   14.4007      62447          0          0      0.149
   14.4107      62470          0          0      0.149
   14.4203      62489          0          0      0.149
   14.4302      62512          0          0      0.149
     14.44      62534          0          0      0.149
   14.4504      62547          0          0      0.149
   14.4601      62565          0          0      0.149
   14.4701      62584          0          0      0.149
   14.4805      62602          0          0      0.149
   14.4918      62619          0          0      0.149
   14.5013      62631          0          0      0.149
   14.5105      62649          0          0      0.149
